trade_date,0
2017-11-10,
2017-11-13,
2017-11-14,
2017-11-15,
2017-11-16,
2017-11-17,
2017-11-20,
2017-11-21,
2017-11-22,
2017-11-23,
2017-11-24,
2017-11-27,
2017-11-28,
2017-11-29,
2017-11-30,
2017-12-01,
2017-12-04,
2017-12-05,
2017-12-06,
2017-12-07,
2017-12-08,
2017-12-11,
2017-12-12,
2017-12-13,
2017-12-14,
2017-12-15,
2017-12-18,
2017-12-19,
2017-12-20,
2017-12-21,
2017-12-22,
2017-12-26,
2017-12-27,
2017-12-28,
2017-12-29,
2018-01-02,
2018-01-03,
2018-01-04,
2018-01-05,
2018-01-08,
2018-01-09,
2018-01-10,
2018-01-11,
2018-01-12,
2018-01-15,
2018-01-16,
2018-01-17,
2018-01-18,
2018-01-19,
2018-01-22,
2018-01-23,
2018-01-24,
2018-01-25,
2018-01-29,
2018-01-30,
2018-01-31,
2018-02-01,
2018-02-02,
2018-02-05,
2018-02-06,
2018-02-07,0.4167198719708646
2018-02-08,0.438436464893523
2018-02-09,0.4724978259856353
2018-02-12,0.4218124526190121
2018-02-14,0.4211610137816968
2018-02-15,0.4182259855337881
2018-02-16,0.3756780339868568
2018-02-19,0.3404023562616619
2018-02-20,0.3407953883562566
2018-02-21,0.3455430426896698
2018-02-22,0.34026471081587994
2018-02-23,0.33840125170102237
2018-02-26,0.33546849676798896
2018-02-27,0.3328958458895938
2018-02-28,0.3468051003110155
2018-03-01,0.343491568364142
2018-03-05,0.3888136391735077
2018-03-06,0.37328494259270456
2018-03-07,0.36473234452862396
2018-03-08,0.37590499638650654
2018-03-09,0.3646250554571329
2018-03-12,0.36087014740323353
2018-03-13,0.3609978563042311
2018-03-14,0.37548062710740676
2018-03-15,0.3842210789750493
2018-03-16,0.36109034040053156
2018-03-19,0.35206002874442505
2018-03-20,0.32243655465189835
2018-03-21,0.32525818170024823
2018-03-22,0.3272731341380114
2018-03-23,0.34433458320365135
2018-03-26,0.2885718613908742
2018-03-27,0.27887549178619314
2018-03-28,0.2599362990439853
2018-04-02,0.2653893817047541
2018-04-03,0.26565235795201536
2018-04-04,0.26803874557701013
2018-04-05,0.24126568167820694
2018-04-06,0.22062456415427137
2018-04-09,0.20575031662549137
2018-04-10,0.20547794002428438
2018-04-11,0.20830607289234543
2018-04-12,0.20461519185506358
2018-04-13,0.20866900326913118
2018-04-16,0.2042307597306033
2018-04-17,0.2040111537817193
2018-04-18,0.19939010316985525
2018-04-19,0.20529651909302818
2018-04-20,0.20607559680601303
2018-04-23,0.2008962551530421
2018-04-24,0.19990213042660104
2018-04-25,0.1988747956632948
2018-04-26,0.19164253381205792
2018-04-27,0.19482077577025586
2018-04-30,0.19889640737109957
2018-05-02,0.1945678464889761
2018-05-03,0.19355219023905537
2018-05-04,0.187195584970717
2018-05-07,0.16312513417172222
2018-05-08,0.11349159993619329
2018-05-09,0.10380835339327608
2018-05-10,0.06578845711592043
2018-05-11,0.0009923417032276667
2018-05-14,0.03595095691761042
2018-05-15,0.04204953918555777
2018-05-16,0.02961284626275693
2018-05-17,0.05543437821125441
2018-05-18,0.05627662498732185
2018-05-21,0.058003603191737065
2018-05-22,0.054377119092308586
2018-05-23,0.05586925068790249
2018-05-24,0.020615837515749927
2018-05-25,0.008812970606736224
2018-05-28,0.008463828469284661
2018-05-29,0.017744483219671595
2018-05-30,0.02025533741730932
2018-05-31,-0.10801037595751779
2018-06-01,-0.0801399698962713
2018-06-04,-0.10784721936212559
2018-06-05,-0.11637818036277899
2018-06-06,-0.1170597247191593
2018-06-07,-0.14839944293918966
2018-06-08,-0.14775424548871985
2018-06-11,-0.1547939376048284
2018-06-12,-0.1539890424426631
2018-06-13,-0.12523608399753958
2018-06-14,-0.11567757289740939
2018-06-15,-0.10739141352477424
2018-06-18,-0.10473947922727975
2018-06-19,-0.07106818042361476
2018-06-20,-0.17228300213620656
2018-06-21,-0.09904721125247268
2018-06-22,-0.11648237747722269
2018-06-25,-0.1199783218410377
2018-06-26,-0.1088219467044775
2018-06-27,-0.1136931424888314
2018-06-28,-0.15936817373541964
2018-06-29,-0.19445180455813774
2018-07-02,-0.23750259838945467
2018-07-03,-0.24222096677703095
2018-07-04,-0.21838127194943655
2018-07-05,-0.22479513031840556
2018-07-06,-0.20866315584944573
2018-07-09,-0.20659924850538264
2018-07-10,-0.19103431291266437
2018-07-11,-0.19078203192492135
2018-07-12,-0.213621550359953
2018-07-13,-0.2221369357898377
2018-07-16,-0.23133267155017215
2018-07-17,-0.24044646966580954
2018-07-18,-0.24818458608271352
2018-07-19,-0.2512955028994498
2018-07-20,-0.25185921980035186
2018-07-23,-0.28209631023120796
2018-07-24,-0.29735543781328344
2018-07-25,-0.29067782669584
2018-07-26,-0.2895538944567037
2018-07-27,-0.25947167560998896
2018-07-30,-0.264702607189973
2018-07-31,-0.2667461607699904
2018-08-01,-0.2680596884276688
2018-08-02,-0.25068282143569254
2018-08-03,-0.27806484505415746
2018-08-06,-0.27561211451919687
2018-08-07,-0.2756770916791372
2018-08-08,-0.25489970617600566
2018-08-09,-0.25126475340985543
2018-08-10,-0.22247662406775556
2018-08-13,-0.17124253769658587
2018-08-14,-0.17107929610892122
2018-08-16,-0.11904135161865671
2018-08-17,-0.06868484228602241
2018-08-20,-0.06249897230444069
2018-08-21,-0.06075095802988204
2018-08-23,-0.07682827779415712
2018-08-24,-0.09468852385568642
2018-08-27,-0.07695744811748365
2018-08-28,-0.07999544047263604
2018-08-29,-0.04505376378962245
2018-08-30,-0.04607927599933112
